trial,experiment,hidden_dim,hgnn_dim,num_hgnn_layers,attn_heads,learning_rate,weight_decay,dropout,val_f1,val_loss,test_f1,test_roc_auc,test_accuracy,test_precision,test_recall,duration_min
47,hgnn_trial47_h128_hd32_nl1_ah4_lr5.76e-03_wd2.46e-05_dr10,128,32,1,4,0.005764810670114668,2.456697454773834e-05,0.1,0.8843537414965986,0.31802150583435557,0.8259476031215162,0.9123495633330321,0.835061076262793,0.8742532635150084,0.7827005612413338,9.692467713356018
29,hgnn_trial29_h128_hd64_nl4_ah2_lr1.23e-03_wd3.06e-06_dr30,128,64,4,2,0.0012260057359187524,3.0582523213789657e-06,0.3,0.8832309043020193,0.2901032083558489,0.7809730638551263,0.8697599707722454,0.7935622317596567,0.8316920322291853,0.7360845163420271,32.936401800314584
14,hgnn_trial14_h512_hd128_nl2_ah4_lr1.58e-03_wd1.88e-05_dr10,512,128,2,4,0.0015837031559118749,1.8785426399210642e-05,0.1,0.8811104405552203,0.29898421104671885,0.7806292910379263,0.886540076280341,0.802740178276659,0.8791763149189546,0.7019478375701552,86.22521826823552
9,hgnn_trial09_h64_hd128_nl3_ah2_lr2.01e-03_wd1.99e-05_dr10,64,128,3,2,0.0020148477884158666,1.994735470307452e-05,0.1,0.8807658833768495,0.2982865838697287,0.7901217723505134,0.8741679795867853,0.7968636513700892,0.8172452723680497,0.7647408385605811,13.60658003091812
24,hgnn_trial24_h64_hd128_nl2_ah1_lr2.05e-03_wd1.94e-05_dr30,64,128,2,1,0.0020497980520950186,1.9420998251718043e-05,0.3,0.8782505910165485,0.2975092968122859,0.8102179647369152,0.8989476046505875,0.8194783757015517,0.8540279505377918,0.7706833938593596,11.63175453344981
5,hgnn_trial05_h256_hd32_nl2_ah8_lr3.99e-03_wd5.68e-05_dr30,256,32,2,8,0.003991305878561679,5.675206026988749e-05,0.3,0.8777021024578028,0.302550370674268,0.800313457291444,0.8923015516018206,0.8149224166391549,0.8688993735014309,0.7417629580719709,23.21938091913859
10,hgnn_trial10_h64_hd64_nl3_ah1_lr2.70e-03_wd5.27e-06_dr20,64,64,3,1,0.0027036160666620013,5.265139631677755e-06,0.2,0.8766881972988844,0.2985296251932359,0.7800042037413298,0.8729705659204339,0.7926708484648399,0.8307588985896575,0.7350940904588973,12.187399844328562
1,hgnn_trial01_h64_hd32_nl3_ah2_lr2.37e-03_wd2.26e-04_dr20,64,32,3,2,0.0023688639503640775,0.0002264824818951685,0.2,0.8742157155661787,0.3081786290937818,0.7696980654492859,0.8757074700259111,0.789732585011555,0.8507593924860112,0.7027401782766589,13.746462909380595
15,hgnn_trial15_h128_hd32_nl3_ah8_lr3.91e-03_wd1.30e-06_dr30,128,32,3,8,0.003912141628549694,1.3033567475147445e-06,0.3,0.8736247398156408,0.30199307807405823,0.7890104407939279,0.8820486044390305,0.8045229448662925,0.8570212107137328,0.7310003301419611,29.209363452593486
49,hgnn_trial49_h64_hd64_nl1_ah1_lr3.33e-03_wd1.15e-05_dr20,64,64,1,1,0.0033322135755462345,1.1457000811140411e-05,0.2,0.8695652173913043,0.3098604979235202,0.8191156766413578,0.9044370469199412,0.8261802575107297,0.8538175046554934,0.7871244635193133,7.152058370908102
42,hgnn_trial42_h512_hd32_nl1_ah1_lr2.14e-03_wd1.44e-06_dr10,512,32,1,1,0.0021423874956449057,1.4369502768990668e-06,0.1,0.8686064318529862,0.31378643933237566,0.8057699974629409,0.9074977517321554,0.823076923076923,0.8931383577052868,0.7339716077913503,22.237240465482078
4,hgnn_trial04_h64_hd64_nl4_ah2_lr1.14e-03_wd1.40e-04_dr40,64,64,4,2,0.001143098387631322,0.00013983740016490964,0.4,0.8595841640558246,0.3471267690690835,0.7540927460784985,0.8305372659864079,0.7629580719709476,0.7833914466661923,0.7269065698250248,23.71149782339732
43,hgnn_trial43_h128_hd64_nl4_ah8_lr2.05e-03_wd6.39e-06_dr40,128,64,4,8,0.0020463613363481603,6.390259853593128e-06,0.4,0.8572276639952509,0.3321817092472541,0.7399485190153355,0.8410655443511228,0.7631891713436778,0.8204695288631613,0.6738197424892703,35.36778847376505
19,hgnn_trial19_h128_hd64_nl4_ah1_lr2.02e-03_wd1.75e-06_dr10,128,64,4,1,0.0020165721691808598,1.7456037635797424e-06,0.1,0.8527357392316647,0.3540425916109481,0.7445665706256892,0.835741809585583,0.7629250577748432,0.8070635410240592,0.691053152855728,32.85467612346013
